Tesla,TSLA,Elon Musk,electric car,manufacturing,environmentalism,sustainablity
Apple,AAPL,Tim Cook,iphone,ipad,apple watch,siri
Facebook,FB,Mark Zuckerberg,social media,instagram,WhatsApp,fake news
Microsoft,MSFT,Satya Nadella,Redmond,Windows,Xbox,LinkedIn
Alphabet,GOOGL,Larry Page,YouTube,Android,Google,technology
Snapchat,SNAP,Evan Spiegel,snap story,snap streak,social media,picture
Spotify,SPOT,Daniel Ek,music streaming,technology,new music,music
Sony,SNE,Kenichiro Yoshida,electronics,Playstation,Vue,movies
Samsung,SSNLF,Kim Hyun Suk,phone,Galaxy,Note,technology
Nintendo,NTDOY,Shuntaro Furukawa,Switch,Super Smash Bros,Mario,video games
Comcast,CMCSA,Brian Roberts,Xfinity,television,telecommunication,TV
Intel,INTC,Robert Swan,technology,computers,processor,dual core
IBM,IBM,Ginni Rometty,artificial intelligence,blockchain,Watson,technology
Boeing,BA,Dennis Muilenburg,airlines,travel,planes,747
Disney,DIS,Bob Iger,Fox Entertainment,Marvel,movies,television
Verizon,VZ,Hans Vetsburg,Fios,phone,cell carrier,home internet
Nike,NKE,Mark Parker,Jordan,LeBron James,sportswear,Kaepernick
McDonald's,MCD,Steve Easterbrook,fast food,mcnuggets,whopper,happy meal
